"id","title","article_authors","cohort","year","arquivo","areas_pesquisa","metodologia","metricas_mencionadas","metodos_estatisticos","venue","venue_type","citations","num_referencias","n_references","alignment_score","alignment_nivel","temas_ementa","qtd_temas_ementa","max_score_relevancia","max_percentual_match","relacao_disciplina_proxy","alinhado_plano_proxy","replicabilidade_proxy","natureza_artigo_proxy","nivel_aluno_proxy","qualidade_proxy","prestige_score","pagerank_centrality","community_id","rubric_score","arqi_equal","arqi_pca","arqi_no_prestige","replicavel","pratico_teorico","nivel_aluno","agregou","relacao_disciplina","alinhado_plano","artigos_relacionados","sobreposicao_tematica_qtd","evidencias_extraidas","pendencias"
"27","Evaluation of Software Product Quality Metrics","","","2009","Evaluation of Software Product Quality Metrics.pdf","Métricas de Software; Qualidade de Software; Manutenção de Software; Gerenciamento de Projetos; Segurança de Software","","LOC/SLOC; Coupling/Acoplamento; Halstead","Correlação de Spearman; Descritiva; Precisão/Recall/F1","","preprint","","1993","1993","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","1-parcial","misto","intermediario","media_proxy_local","","","","","","","","","","","","","","25:arXiv:2310.03673v2 [cs.SE] 7 Jun 2024; 5:A Review and Analysis of Software Complexity Metrics in Structural Tes; 18:A study of component based software system metrics; 43:Quality Metrics in Agile Software Development Projects","4","Evaluation of Software Product Quality Metrics Arthur-Jozsef Molnar, Alexandra Neamt¸u, and Simona Motogna Faculty of Mathematics and Computer Science, Babe¸s-Bolyai University, Cluj-Napoca, Romania {arthur, motogna}@cs.ubbcluj.ro, nais1841@scs.ubbcluj.ro Abstract. Computing devices and associated software govern everyday life, and form the backbon","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"28","Evidence is All We Need: Do Self-Admitted Technical Debts Impact Method-Level Maintenance?","","","","Evidence_is_All_We_Need_Do_Self-Admitted_Technical_Debts_Impact_Method-Level_Maintenance.pdf","Métricas de Software; Qualidade de Software; Manutenção de Software; Revisão de Código; Dívida Técnica","Mineração de Repositórios","Code Coverage; Technical Debt","Wilcoxon; Correlação de Pearson; Effect Size; Shapiro-Wilk; Kolmogorov-Smirnov; Teste de Normalidade; Precisão/Recall/F1","","","","89","89","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","5","2","33.3","indireta","sim","2-alta","misto","avancado","alta_proxy_local","","","","","","","","","","","","","","46:Empir Software Eng (2017) 22:579–630; 24:Application of Statistical Methods in Software Engineering: Theory and","2","Evidence is All We Need: Do Self-Admitted Technical Debts Impact Method-Level Maintenance? 1st Shaiful Chowdhury SQM Research Lab, Computer Science University of Manitoba Winnipeg, Canada Email: shaiful.chowdhury@umanitoba.ca 2nd Hisham Kidwai SQM Research Lab, Computer Science University of Manitoba Winnipeg, Canada Email: kidwaih1@myumanitoba.ca","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"29","Experimentation in Software Engineering","","","","Experimentation in Software Engineering.pdf","Métricas de Software; Experimentação","Experimento Controlado; Estudo Empírico; Proposta de Framework; Replicação","Coupling/Acoplamento","Teste t; Bayesiana; Precisão/Recall/F1","","journal","","116","116","","medio","Planejamento de experimento; Execução de experimento; Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","11","3","60.0","direta","sim","0-nao_detectada","misto","intermediario","alta_proxy_local","","","","","","","","","","","","","","38:Metrics for Evaluating and Improving Transparency in Software Engineer; 7:A Survey of Controlled Experiments; 1:A Conceptual Model to Support Teaching of Software Engineering Control; 62:Towards Improving Experimentation in Software Engineering; 33:Impact of &#x201C;Evaluating Software Complexity Measures&#x201D;","6","IEEE TRANSACTIONS ON SOFTWARE ENGINEERING, VOL. SE-12, NO.7, JULY 1986 Experimentation in Software Engineering VICTOR R. BASILI, SENIOR MEMBER, IEEE, RICHARD W. SELBY, MEMBER, IEEE, AND DAVID H. HUTCHENS, MEMBER, IEEE 733 Abstract-Experimentation in software engineering supports the ad- vancement of the field through an iterative learning process.","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"30","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO","Nome Completo do Autor","","2023","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO CONTEXTO DA EXPERIMENTAÇÃO CONTÍNUA EM ENGENHARIA DE SOFTWARE.pdf","Experimentação","Proposta de Framework","","Correlação de Pearson","IST","","","200","200","","baixo","","0","0","0.0","nao_detectada","baixo","0-nao_detectada","misto","basico_intermediario","media_proxy_local","","","","","","","","","","","","","","","0","FORMATO PARA ESPECIFICAÇÃO DE REQUISITOS CONJECTURAIS NO CONTEXTO DA EXPERIMENTAÇÃO CONTÍNUA EM ENGENHARIA DE SOFTWARE Vladimir Marques Erthal Dissertação de Mestrado apresentada ao Programa de Pós-Graduação em Engenharia de Sistemas e Computação, COPPE, da Universidade Federal do Rio de Janeiro, como parte dos requisitos necessário","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"31","05_Roche_01_43122.indd","","","2023","How to Accelerate R&D and Optimize Experiment Planning with Machine Learning and Data Science.pdf","Experimentação; Inteligência Artificial/ML","Proposta de Framework; Machine Learning","","Bayesiana; SVM","","","","0","0","","baixo","","0","0","0.0","nao_detectada","baixo","1-parcial","misto","intermediario","baixa_proxy_local","","","","","","","","","","","","","","","0","ArtificiAl intelligence in chemicAl reseArch CHIMIA 2023, 77, No.1/2 7 *Correspondence: Dr. L. M. Roch, E-Mail: loic@atinary.com Atinary Technologies Sàrl, Lausanne, VD, Switzerland How to Accelerate R&D and Optimize Experiment Planning with Machine Learning and Data Science Daniel Pacheco Gutierrez, Linnea M. Folkmann, Hermann Tribukait, and Loïc","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"32","Microsoft Word - 725final","faten","","2008","Impact_of_CMMI_based_software_process_maturity_on_.pdf","Gerenciamento de Projetos; Processo de Software","","Cohesion/Coesão","Bayesiana","","journal","","34","34","","medio","Métricas de processo; Processo de experimentação","2","2","40.0","indireta","sim","1-parcial","misto","intermediario","media_proxy_local","","","","","","","","","","","","","","","0","The International Arab Journal of Information Technology, Vol. 7, No. 2, April 2010 129 Impact of CMMI Based Software Process Maturity on COCOMO II’s Effort Estimation Majed Al Yahya, Rodina Ahmad, and Sai Lee Department of Software Engineering, University of Malaya, Malaysia A","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"33","Impact of &#x201C;Evaluating Software Complexity Measures&#x201D;","","","2025","Impact_of_Evaluating_Software_Complexity_Measures.pdf","Métricas de Software; Teste de Software","","","SVM; Precisão/Recall/F1","TSE","journal","","14","14","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","0-nao_detectada","misto","intermediario","media_proxy_local","","","","","","","","","","","","","","29:Experimentation in Software Engineering","1","732 IEEE TRANSACTIONS ON SOFTWARE ENGINEERING, VOL. 51, NO. 3, MARCH 2025 Impact of “Evaluating Software Complexity Measures” Elaine J. Weyuker Abstract—We investigate the impact that the paper “Evaluat- ing Software Complexity Measures” has had over the thirty-six year period since it was ﬁrst published in 1988. We look both at how the frequency o","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"34","Undertaking systematic reviews","A satisfied Microsoft Office User","","2007","Kitchenham, B. Guidelines for performing Systematic Literature Reviews in software engineering. EBSE Technical Report EBSE-2007-01.pdf","Engenharia de Software (Geral)","Revisão Sistemática; Mapeamento Sistemático","","Effect Size; K-fold/Cross-validation; Precisão/Recall/F1","","report","","29","29","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de processo; Métricas de projeto; Processos e técnicas de medição; Identificação, organização e validação de métricas de software","14","3","50.0","direta","sim","1-parcial","pratico_empirico","avancado","media_proxy_local","","","","","","","","","","","","","","60:The role of measurement uncertainty in the validation of a measurement","1","© Kitchenham, 2007 Guidelines for performing Systematic Literature Reviews in Software Engineering Version 2.3 EBSE Technical Report EBSE-2007-01 Software Engineering Group School of Computer Science and Mathematics Keele University Keele, Staffs ST5 5BG, UK and Department of Computer Science University of Durh","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"35","LLM4DS: Evaluating Large Language Models for","","","","LLM4DS Evaluating Large Language Models for Data Science Code Generation.pdf","Experimentação; Inteligência Artificial/ML; Produtividade","Experimento Controlado; Estudo Empírico; Proposta de Framework; Análise Estatística; GQM","","Wilcoxon; Chi-quadrado; Kruskal-Wallis; Regressão Linear; Descritiva; Box Plot","ASE","","","21","21","","medio","Planejamento de experimento; Execução de experimento; Análise de resultados de experimentos","3","2","40.0","indireta","sim","2-alta","misto","avancado","media_proxy_local","","","","","","","","","","","","","","38:Metrics for Evaluating and Improving Transparency in Software Engineer","1","LLM4DS: Evaluating Large Language Models for Data Science Code Generation Nathalia Nascimento EASER, Eng. Division Pennsylvania State University Great Valley, USA nqm5742@psu.edu Everton Guimaraes EASER, Eng. Division Pennsylvania State University Great Valley, USA ezt157@psu.edu Sai Sanjna Chintakunta EASER, Eng. Division Pennsylvania State Univer","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"36","Received August 6, 2020, accepted August 13, 2020, date of publication August 20, 2020, date of current version September 2, 2020.","","","2020","Measuring_the_Impact_of_Scope_Changes_on_Project_Plan_Using_EVM.pdf","Gerenciamento de Projetos","","","Correlação de Pearson; Regressão Linear; Regressão Logística; Descritiva","","","","94","94","","baixo","","0","0","0.0","nao_detectada","baixo","1-parcial","misto","intermediario","media_proxy_local","","","","","","","","","","","","","","52:Received 20 August 2023, accepted 31 August 2023, date of publication ","1","Received August 6, 2020, accepted August 13, 2020, date of publication August 20, 2020, date of current version September 2, 2020. Digital Object Identifier 10.1109/ACCESS.2020.3018169 Measuring the Impact of Scope Changes on Project Plan Using EVM SAMAN TARIQ 1, NAVEED AHMAD 2, M. USMAN ASHRAF1, AHMED M. ALGHAMDI 3, AND AHMED S. ALFAKEEH 4 1Depart","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"37","Sigmae, Alfenas, v.11, n.2, p. 21-35, 2022.","DEX","","2022","Medição e Análise no CMMI com Metodologia Seis Sigma eISOIECIEEE1593.pdf","Processo de Software","Estudo de Caso","","","","","","0","0","","medio","Métricas de processo; Processo de experimentação","2","2","40.0","indireta","sim","0-nao_detectada","misto","basico_intermediario","baixa_proxy_local","","","","","","","","","","","","","","16:Microsoft Word - FinalPrint07.doc","1","ISSN: 2317-0840 Sigmae, Alfenas, v.11, n.2, p. 21-35, 2022. Medição e Análise no CMMI com Metodologia Seis Sigma e ISO/IEC/IEEE 15939 Charles S. F. Silva†1, Marcelo S. Oliveira2 1 Professor de Informática, Escola Preparatória de Cadetes do Ar (EPICAR). 2Universidade Federal de Lavras (UFLA).. Resumo: Baseados na premissa de que a qua","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"38","Metrics for Evaluating and Improving Transparency in Software Engineering: An Empirical Study and Improvement Model","Paulinus Ofem","","2024","Metrics for Evaluating and Improving Transparency in Software Engineering An Empirical Study and Improvement Model.pdf","Manutenção de Software; Experimentação; Processo de Software; Produtividade","Revisão Sistemática; Experimento Controlado; Estudo Empírico; Proposta de Framework; GQM","","Teste t; Correlação de Pearson; Regressão Linear; Effect Size; Descritiva; Precisão/Recall/F1","","","","145","145","","medio","Processo de experimentação; Planejamento de experimento; Execução de experimento; Nivelamento e revisão de fundamentos de engenharia de software; Métricas de processo; Estratégias de experimentação","9","3","75.0","direta","sim","1-parcial","misto","avancado","alta_proxy_local","","","","","","","","","","","","","","29:Experimentation in Software Engineering; 35:LLM4DS: Evaluating Large Language Models for; 7:A Survey of Controlled Experiments; 42:Process metrics for software defect prediction in object‐oriented prog; 21:An External Replication on the Effects of Test-driven","10","Vol.:(0123456789) SN Computer Science (2024) 5:1097 https://doi.org/10.1007/s42979-024-03471-3 SN Computer Science ORIGINAL RESEARCH Metrics for Evaluating and Improving Transparency in Software Engineering: An Empirical Study and Improvement Model Paulinus Ofem1 · Bassey Isong1 · Francis Lugayizi1 Received: 19 April 2024 / Accepted:","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"39","Metrics in Large-Scale Agile Software Development: A","","","2021","Metrics in Large-Scale Agile Software Development A Multivocal Literature Review.pdf","Métricas de Software; Métodos Ágeis; Produtividade","Revisão Multivocal","LOC/SLOC; Function Points; Story Points; Velocity; Lead Time","Precisão/Recall/F1","","","","0","0","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","5","2","33.3","indireta","sim","1-parcial","misto","intermediario","baixa_proxy_local","","","","","","","","","","","","","","43:Quality Metrics in Agile Software Development Projects; 53:Software Metrics Classification for Agile Scrum Process: A Literature ; 49:Microsoft Word - Software Process Measurement and Related Challenges i; 5:A Review and Analysis of Software Complexity Metrics in Structural Tes; 41:On the Relationship Between Story Points and Development Effort in Agi","5","Metrics in Large-Scale Agile Software Development: A Multivocal Literature Review Renato Menezes1, Marcelo Marinho1, Suzana Sampaio1 1Computer Department – Universidade Federal Rural de Pernambuco (UFRPE) Recife – PE – Brazil {renato.vmenezes, marcelo.marinho,suzana.sampaio}@ufrpe.br Abstract. Software development is widespread across various secto","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"40","On Wasted Contributions: Understanding the Dynamics","","","2023","On Wasted Contributions Understanding the Dynamics of Contributor-Abandoned Pull Requests–A Mixed-Methods Study of 10 Large Open-Source Projects.pdf","Inteligência Artificial/ML; Revisão de Código","Survey/Questionário; Estudo Empírico; Machine Learning","","Correlação de Spearman; Effect Size; Box Plot; Random Forest; K-fold/Cross-validation; ROC/AUC; Precisão/Recall/F1","","journal","","82","82","","medio","Nivelamento e revisão de fundamentos de engenharia de software","1","2","33.3","indireta","sim","2-alta","misto","avancado","media_proxy_local","","","","","","","","","","","","","","44:Quality of AI-Generated vs. Human-Generated Code; 41:On the Relationship Between Story Points and Development Effort in Agi; 13:A machine learning approach to vulnerability detection combining softw","3","15 On Wasted Contributions: Understanding the Dynamics of Contributor-Abandoned Pull Requests–A Mixed-Methods Study of 10 Large Open-Source Projects SAYEDHASSAN KHATOONABADI and DIEGO ELIAS COSTA, Concordia University, Canada RABE ABDALKAREEM, Carleton University, Canada EMAD SHIHAB, Concordia University, Canada Pull-based development has enabled n","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"41","On the Relationship Between Story Points and Development Effort in Agile Open-Source Software","Vali Tawosi, Rebecca Moussa, Federica Sarro","","","On the Relationship Between Story Points and DevelopmentEffort in Agile Open-Source Software.pdf","Engenharia de Software Empírica; Métodos Ágeis; Gerenciamento de Projetos","Estudo de Caso; Estudo Empírico","Function Points; Story Points","Mann-Whitney; Wilcoxon; Correlação de Pearson; Correlação de Spearman; Effect Size; Shapiro-Wilk; Descritiva; Box Plot; Random Forest; Precisão/Recall/F1","","conference","","58","58","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de processo; Métricas de projeto; Processos e técnicas de medição; Identificação, organização e validação de métricas de software","14","2","33.3","indireta","sim","1-parcial","misto","avancado","media_proxy_local","","","","","","","","","","","","","","48:Software Development and Maintenance Effort Estimation Using Function ; 43:Quality Metrics in Agile Software Development Projects; 46:Empir Software Eng (2017) 22:579–630; 40:On Wasted Contributions: Understanding the Dynamics; 53:Software Metrics Classification for Agile Scrum Process: A Literature ","6","On the Relationship Between Story Points and Development Effort in Agile Open-Source Software Vali Tawosi University College London London, UK vali.tawosi@ucl.ac.uk Rebecca Moussa University College London London, UK rebecca.moussa.18@ucl.ac.uk Federica Sarro University College London London, UK f.sarro@ucl.ac.uk ABSTRACT Background: Previous work","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"42","Process metrics for software defect prediction in object‐oriented programs","","","2018","Process metrics for software defectprediction in object-oriented programs.pdf","Métricas de Software; Segurança de Software; Predição de Defeitos","Estudo Empírico","Code Churn; Halstead; Defect Density","Wilcoxon; Correlação de Pearson; Regressão Linear; Regressão Logística; Effect Size; Bayesiana; ROC/AUC; Precisão/Recall/F1","","","","57","57","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","1-parcial","misto","avancado","alta_proxy_local","","","","","","","","","","","","","","54:Source Code Metrics for Software Defects Prediction; 38:Metrics for Evaluating and Improving Transparency in Software Engineer; 64:Unveiling Hybrid Cyclomatic Complexity: A Comprehensive Analysis and E; 20:An Empirical Validation of Cognitive Complexity as a Measure of Source","4","IET Software Research Article Process metrics for software defect prediction in object-oriented programs ISSN 1751-8806 Received on 8th December 2018 Revised 13th July 2019 Accepted on 19th November 2019 E-First on 26th February 2020 doi: 10.1049/iet-sen.2018.5439 www.ietdl.org Qiao Yu1 , Shujuan Jiang2,3, Junyan Qian4,5, Lili Bo6, Li Jiang2,3, Gon","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"43","Quality Metrics in Agile Software Development Projects","Kristīne Kārkliņa, Rūta Pirta","","2018","Quality_metrics_in_Agile_Software_Development_Proj.pdf","Métricas de Software; Métodos Ágeis; Gerenciamento de Projetos","Estudo de Caso; GQM","Velocity","Precisão/Recall/F1","","","","20","20","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","0-nao_detectada","misto","basico_intermediario","media_proxy_local","","","","","","","","","","","","","","49:Microsoft Word - Software Process Measurement and Related Challenges i; 53:Software Metrics Classification for Agile Scrum Process: A Literature ; 39:Metrics in Large-Scale Agile Software Development: A; 19:Adjustment Level Metrics for Requirements in Project Management; 41:On the Relationship Between Story Points and Development Effort in Agi","6","Information Technology and Management Science 54 ISSN 2255-9094 (online) ISSN 2255-9086 (print) December 2018, vol. 21, pp. 54–59 doi: 10.7250/itms-2018-0008 https://itms-journals.rtu.lv ©2018 Kristīne Kārkliņa, Rūta Pirta. This is an open access article licensed under the Creative Commons Attribution License (http://creativecommons.o","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"44","Quality of AI-Generated vs. Human-Generated Code","","","","Quality_of_AI-Generated_vs._Human-Generated_Code.pdf","Métricas de Software; Qualidade de Software; Manutenção de Software; Inteligência Artificial/ML","Survey/Questionário; Machine Learning","Complexidade Ciclomática","Random Forest; SVM; Precisão/Recall/F1","","","","16","16","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","2-alta","misto","avancado","media_proxy_local","","","","","","","","","","","","","","13:A machine learning approach to vulnerability detection combining softw; 5:A Review and Analysis of Software Complexity Metrics in Structural Tes; 47:SOFTWARE CODE QUALITY MEASUREMENT: IMPLICATIONS FROM; 14:A preliminary GQM model to evaluate web API; 64:Unveiling Hybrid Cyclomatic Complexity: A Comprehensive Analysis and E","9","Quality of AI-Generated vs. Human-Generated Code Tasneem Muhammed Eltabakh Communication & Information Engineering Zewail City Giza, Egypt s-tasneem.attia@zewailcity.edu.eg Nada Nabil Soudi Communication & Information Engineering Zewail City Giza, Egypt s-nada.soudi@zewailcity.edu.eg Doaa Shawky Software Development Program Zewail City Giza, Egypt","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"45","https://doi.org/10.1007/s10664-024-10504-1","","","2024","Recommendations for analysing and meta-analysing small sample size software engineering experiments.pdf","Engenharia de Software Empírica; Experimentação","Experimento Controlado; Meta-análise; Análise Estatística","","Mann-Whitney; Chi-quadrado; Effect Size; Shapiro-Wilk; Box Plot; Teste de Normalidade","Empirical Software Engineering","journal","","114","114","","alto","Planejamento de experimento; Execução de experimento; Análise de resultados de experimentos; Estratégias de experimentação; Processo de experimentação; Apresentação de resultados experimentais","18","4","80.0","direta","sim","1-parcial","misto","avancado","media_proxy_local","","","","","","","","","","","","","","46:Empir Software Eng (2017) 22:579–630","1","https://doi.org/10.1007/s10664-024-10504-1 Recommendations for analysing and meta-analysing small sample size software engineering experiments Barbara Kitchenham1 · Lech Madeyski2 Accepted: 24 May 2024 / © The Author(s) 2024 Abstract Context Software engineering (SE) experiments often have small sample sizes. This can result in data sets with non-n","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"46","Empir Software Eng (2017) 22:579–630","","","2017","Robust Statistical Methods for Empirical Software Engineering.pdf","Métricas de Software; Engenharia de Software Empírica","Revisão Sistemática; Análise Estatística","","Teste t; Mann-Whitney; Wilcoxon; ANOVA; Kruskal-Wallis; Effect Size; Shapiro-Wilk; Kolmogorov-Smirnov; Bootstrap; Box Plot; Teste de Normalidade; ROC/AUC; Precisão/Recall/F1","","journal","","200","200","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software; Análise de resultados de experimentos","18","3","50.0","direta","sim","1-parcial","misto","avancado","media_proxy_local","","","","","","","","","","","","","","24:Application of Statistical Methods in Software Engineering: Theory and; 2:Technical Report, Simula Research Laboratory, number 2011-13; 28:Evidence is All We Need: Do Self-Admitted Technical Debts Impact Metho; 45:https://doi.org/10.1007/s10664-024-10504-1; 41:On the Relationship Between Story Points and Development Effort in Agi","7","Empir Software Eng (2017) 22:579–630 DOI 10.1007/s10664-016-9437-5 Robust Statistical Methods for Empirical Software Engineering Barbara Kitchenham1 ·Lech Madeyski2 ·David Budgen3 · Jacky Keung4 ·Pearl Brereton1 ·Stuart Charters5 · Shirley Gibbs5 ·Amnart Pohthong6 Published online: 16 June 2016 © The Author(s) 2016. This article is published with o","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"47","SOFTWARE CODE QUALITY MEASUREMENT: IMPLICATIONS FROM","","","2024","SOFTWARE CODE QUALITY MEASUREMENT IMPLICATIONS FROM METRIC DISRIBUTIONS.pdf","Manutenção de Software; Inteligência Artificial/ML; Revisão de Código","Machine Learning","","ROC/AUC","IST","preprint","","34","34","","medio","Nivelamento e revisão de fundamentos de engenharia de software","1","2","33.3","indireta","sim","2-alta","misto","basico_intermediario","alta_proxy_local","","","","","","","","","","","","","","44:Quality of AI-Generated vs. Human-Generated Code","1","SOFTWARE CODE QUALITY MEASUREMENT: IMPLICATIONS FROM METRIC DISTRIBUTIONS A PREPRINT Siyuan Jin1,2, Mianmian Zhang1, Yekai Guo3, Yuejiang He1, Ziyuan Li4,1,∗, Bichao Chen1,∗, Bing Zhu1,∗, and Yong Xia1,∗ 1 HSBC Laboratory, Guangzhou, China 2 School of Business and Management, Hong Kong University of Science and Technology, Hong Kong, China 3 School","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"48","Software Development and Maintenance Effort Estimation Using Function Points and Simpler Functional Measures","Luigi Lavazza, Angela Locoro and Roberto Meli","","2024","Software Development and Maintenance Effort Estimation Using Function Points and Simpler Functional Measures.pdf","Gerenciamento de Projetos","Estudo Empírico","Function Points","Bayesiana; Descritiva; Box Plot","","journal","","94","94","","baixo","","0","0","0.0","nao_detectada","baixo","1-parcial","misto","intermediario","alta_proxy_local","","","","","","","","","","","","","","41:On the Relationship Between Story Points and Development Effort in Agi","1","Citation: Lavazza, L.; Locoro, A.; Meli, R. Software Development and Maintenance Effort Estimation Using Function Points and Simpler Functional Measures. Software 2024, 3, 442–472. https://doi.org/10.3390/ software3040022 Academic Editors: Alessio Ferrari and Hongyu Zhang Received: 6 September 2024 Revised: 25 October 2024 Accepted: 26 October 2024","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"49","Microsoft Word - Software Process Measurement and Related Challenges in Agile Software Developmen - A Multiple Case Study (Latest)","pram","","2020","Software Process Measurement and Related Challenges in Agile Software Development A Multiple Case Study.pdf","Métricas de Software; Métodos Ágeis; Processo de Software","Revisão Sistemática; Estudo de Caso; Estudo Empírico; GQM","Velocity","Precisão/Recall/F1","","","","75","75","","medio","Métricas de processo; Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de projeto; Identificação, organização e validação de métricas de software; Processo de experimentação","6","3","60.0","direta","sim","2-alta","misto","basico_intermediario","alta_proxy_local","","","","","","","","","","","","","","43:Quality Metrics in Agile Software Development Projects; 39:Metrics in Large-Scale Agile Software Development: A; 53:Software Metrics Classification for Agile Scrum Process: A Literature ; 16:Microsoft Word - FinalPrint07.doc; 38:Metrics for Evaluating and Improving Transparency in Software Engineer","5","Software Process Measurement and Related Challenges in Agile Software Development: A Multiple Case Study Prabhat Ram1, Pilar Rodriguez1, and Markku Oivo1 1 M3S, University of Oulu, 90014 Oulu, Finland (prabhat.ram, pilar.rodriguez, markku.oivo)@oulu.fi Abstract. Existing scientific literature highlights the importance of metrics in Agile Soft","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"50","Software Product Quality Metrics: A Systematic Mapping Study","","","2021","Software Product Quality Metrics A Systematic Mapping Study.pdf","Qualidade de Software; Inteligência Artificial/ML","Mapeamento Sistemático; Machine Learning","","Correlação de Pearson; Precisão/Recall/F1","","conference","","60","60","","baixo","","0","0","0.0","nao_detectada","baixo","1-parcial","misto","intermediario","alta_proxy_local","","","","","","","","","","","","","","56:Techniques for Calculating Software Product Metrics Threshold Values: ","1","Received December 30, 2020, accepted January 15, 2021, date of publication January 26, 2021, date of current version March 26, 2021. Digital Object Identifier 10.1109/ACCESS.2021.3054730 Software Product Quality Metrics: A Systematic Mapping Study FATIMA NUR COLAKOGLU 1, ALI YAZICI 2, AND ALOK MISHRA 2,3, (Senior Member, IEEE) 1HAVELSAN, 06510 Anka","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"51","This is a title","erika","","2023","Software quality models Exploratory review.pdf","Qualidade de Software; Processo de Software","Revisão Sistemática","","","","journal","","37","37","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de processo; Processo de experimentação","3","2","33.3","indireta","sim","0-nao_detectada","misto","basico_intermediario","alta_proxy_local","","","","","","","","","","","","","","","0","EAI Endorsed Transactions on Scalable Information Systems Research Article 1 EAI Endorsed Transactions on Scalable Information Systems 2023 | Volume 10 | Issue 6 Software quality models: Exploratory review Lloy Pinedo1*, Miguel Valles-Coral1, Jorge Raul Navarro-Cabrera1, Richard Injante1, Ángel Cárdenas- García1, Fernando Ruiz-Saavedra1, Ce","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"52","Received 20 August 2023, accepted 31 August 2023, date of publication 7 September 2023, date of current version 15 September 2023.","","","2023","Software_Cost_and_Effort_Estimation_Current_Approaches_and_Future_Trends.pdf","Gerenciamento de Projetos; Inteligência Artificial/ML","Revisão Sistemática; Machine Learning","Function Points","Wilcoxon; Regressão Linear; SVM","IST","","","121","121","","medio","Nivelamento e revisão de fundamentos de engenharia de software","1","2","33.3","indireta","sim","2-alta","misto","avancado","alta_proxy_local","","","","","","","","","","","","","","36:Received August 6, 2020, accepted August 13, 2020, date of publication","1","Received 20 August 2023, accepted 31 August 2023, date of publication 7 September 2023, date of current version 15 September 2023. Digital Object Identifier 10.1109/ACCESS.2023.3312716 Software Cost and Effort Estimation: Current Approaches and Future Trends CHAUDHARY HAMZA RASHID 1, IMRAN SHAFI 2, JAMIL AHMAD 1, (Senior Member, IEEE), ERNESTO BAUT","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
